Aerial View,Vista aérea,52
Highway,Carretera,99
Housing,Alojamiento,51
Land,Tierra,51
License Plate,Matrícula,50
Moving Van,furgoneta de mudanza,53
Nature,Naturaleza,58
Outdoors,Al aire libre,80
Overpass,Paso superior,52
Path,Camino,57
Pickup Truck,camioneta,52
Plant,Planta,54
Road,Camino,100
Scenery,Escenario,52
Sidewalk,Acera,53
Sky,Cielo,54
Slope,Pendiente,50
Storm,Tormenta,51
Street,Calle,93
Suburb,Suburbio,54
Takeoff,Despegar,50
Tarmac,Pista,56
Trail,Camino,50
Trailer Truck,Camión Remolque,51
Transportation,Transporte,85
Tree,Árbol,51
Truck,Camión,52
Urban,Urbano,93
Utility Pole,Poste de servicios públicos,55
Van,Furgoneta,53
Vegetation,Vegetación,51
Vehicle,Vehículo,85
Weather,Clima,57
Architecture,Arquitectura,53
Building,Edificio,53
Bus,Autobús,50
Bus Stop,Parada de autobús,52
Car,Auto,71
City,Ciudad,92
Freeway,autopista,100
Grass,Césped,59
Guard Rail,Barandilla,51
Highway,Carretera,99
House,Casa,51
Housing,Alojamiento,53
Land,Tierra,51
Lawn,Césped,51
Moving Van,furgoneta de mudanza,53
Nature,Naturaleza,59
Oak,Roble,50
Outdoors,Al aire libre,80
Overpass,Paso superior,52
Path,Camino,57
Pickup Truck,camioneta,54
Plant,Planta,59
Road,Camino,100
Scenery,Escenario,52
Sidewalk,Acera,53
Sky,Cielo,53
Storm,Tormenta,51
Street,Calle,92
Suburb,Suburbio,56
Sycamore,Sicomoro,50
Tarmac,Pista,55
Trail,Camino,50
Trailer Truck,Camión Remolque,50
Transportation,Transporte,72
Tree,Árbol,52
Truck,Camión,54
Urban,Urbano,92
Utility Pole,Poste de servicios públicos,55
Van,Furgoneta,53
Vegetation,Vegetación,52
Vehicle,Vehículo,72
Weather,Clima,58
Woodland,Bosque,50
Architecture,Arquitectura,52
Building,Edificio,52
Bus,Autobús,52
Bus Stop,Parada de autobús,56
Car,Auto,71
City,Ciudad,76
Freeway,autopista,96
Grass,Césped,76
Grove,Arboleda,51
Hail,Granizo,51
Highway,Carretera,91
House,Casa,50
Housing,Alojamiento,52
Land,Tierra,52
Lawn,Césped,52
License Plate,Matrícula,52
Moving Van,furgoneta de mudanza,56
Nature,Naturaleza,80
Oak,Roble,51
Outdoors,Al aire libre,92
Overpass,Paso superior,51
Path,Camino,57
Pickup Truck,camioneta,56
Plant,Planta,76
Police Car,Coche de policía,50
Road,Camino,100
Scenery,Escenario,51
School Bus,autobús escolar,51
Sidewalk,Acera,56
Sky,Cielo,52
Storm,Tormenta,53
Street,Calle,76
Suburb,Suburbio,57
Sycamore,Sicomoro,51
Tarmac,Pista,52
Trail,Camino,51
Transportation,Transporte,73
Tree,Árbol,52
Truck,Camión,56
Urban,Urbano,76
Utility Pole,Poste de servicios públicos,56
Van,Furgoneta,56
Vegetation,Vegetación,52
Vehicle,Vehículo,73
Weather,Clima,77
Woodland,Bosque,51
Aircraft,Aeronave,51
Airfield,Aeródromo,51
Airport,Aeropuerto,52
Bus,Autobús,52
Bus Stop,Parada de autobús,55
Car,Auto,60
Caravan,Caravana,51
City,Ciudad,60
Countryside,Campo,51
Farm,Granja,51
Field,Campo,52
Fire,Fuego,50
Freeway,autopista,96
Grass,Césped,85
Grove,Arboleda,52
Hail,Granizo,51
Highway,Carretera,94
Land,Tierra,54
Lawn,Césped,53
License Plate,Matrícula,53
Moving Van,furgoneta de mudanza,57
Nature,Naturaleza,78
Outdoors,Al aire libre,90
Overpass,Paso superior,51
Pasture,Pastar,51
Path,Camino,56
Pickup Truck,camioneta,72
Plant,Planta,85
Police Car,Coche de policía,50
Road,Camino,98
Rural,Rural,51
Scenery,Escenario,54
School Bus,autobús escolar,50
Sidewalk,Acera,53
Sky,Cielo,53
Storm,Tormenta,51
Street,Calle,60
Suburb,Suburbio,56
Suv,todoterreno,52
Takeoff,Despegar,51
Tarmac,Pista,54
Tornado,Tornado,50
Trail,Camino,51
Trailer Truck,Camión Remolque,52
Transportation,Transporte,78
Tree,Árbol,53
Truck,Camión,72
Urban,Urbano,60
Utility Pole,Poste de servicios públicos,55
Van,Furgoneta,57
Vegetation,Vegetación,55
Vehicle,Vehículo,78
Weather,Clima,66
Woodland,Bosque,52
Aircraft,Aeronave,50
Airport,Aeropuerto,50
Bus,Autobús,55
Bus Stop,Parada de autobús,56
Car,Auto,76
Caravan,Caravana,55
City,Ciudad,51
Countryside,Campo,52
Farm,Granja,52
Field,Campo,54
Freeway,autopista,86
Grass,Césped,63
Grassland,Pradera,52
Gravestone,Lápida sepulcral,51
Grove,Arboleda,51
Highway,Carretera,74
Land,Tierra,53
Lawn,Césped,51
License Plate,Matrícula,57
Machine,Máquina,59
Minibus,Microbús,51
Moving Van,furgoneta de mudanza,59
Nature,Naturaleza,76
Oak,Roble,50
Outdoors,Al aire libre,89
Pasture,Pastar,52
Path,Camino,54
Person,Persona,50
Pickup Truck,camioneta,57
Plant,Planta,63
Police Car,Coche de policía,51
Road,Camino,94
Rural,Rural,52
Scenery,Escenario,54
School Bus,autobús escolar,52
Sidewalk,Acera,51
Sky,Cielo,50
Slope,Pendiente,50
Storm,Tormenta,51
Street,Calle,51
Suburb,Suburbio,53
Suv,todoterreno,55
Sycamore,Sicomoro,50
Takeoff,Despegar,50
Tarmac,Pista,54
Tomb,Tumba,51
Trail,Camino,51
Transportation,Transporte,78
Tree,Árbol,53
Truck,Camión,57
Urban,Urbano,51
Utility Pole,Poste de servicios públicos,52
Van,Furgoneta,59
Vegetation,Vegetación,54
Vehicle,Vehículo,78
Weather,Clima,55
Wheel,Rueda,58
Woodland,Bosque,51
Adventure,Aventura,51
Architecture,Arquitectura,51
Building,Edificio,51
Bus,Autobús,57
Bus Stop,Parada de autobús,55
Car,Auto,80
Caravan,Caravana,57
Fire Hydrant,Boca de incendio,57
Freeway,autopista,57
Fun,Divertido,50
Grass,Césped,76
Gravestone,Lápida sepulcral,53
Highway,Carretera,56
House,Casa,50
Housing,Alojamiento,51
Hydrant,Boca de aguas,59
Lawn,Césped,51
Leisure Activities,Actividades de ocio,51
License Plate,Matrícula,60
Machine,Máquina,51
Minibus,Microbús,52
Moving Van,furgoneta de mudanza,71
Nature,Naturaleza,58
Offroad,Fuera de la carretera,51
Outdoors,Al aire libre,82
Person,Persona,54
Pickup Truck,camioneta,57
Plant,Planta,78
Police Car,Coche de policía,52
Road,Camino,62
School Bus,autobús escolar,52
Storm,Tormenta,51
Suburb,Suburbio,53
Suv,todoterreno,55
Tomb,Tumba,53
Tornado,Tornado,51
Transportation,Transporte,81
Tree,Árbol,50
Truck,Camión,57
Vacation,Vacaciones,50
Van,Furgoneta,71
Vegetation,Vegetación,51
Vehicle,Vehículo,81
Weather,Clima,53
Wheel,Rueda,51
Architecture,Arquitectura,50
Box,Caja,52
Building,Edificio,50
Bus,Autobús,58
Bus Stop,Parada de autobús,50
Car,Auto,90
Caravan,Caravana,61
Cardboard,Cartulina,52
Carton,Caja de cartón,52
Fire Hydrant,Boca de incendio,57
Fun,Divertido,53
Grass,Césped,53
Gravestone,Lápida sepulcral,54
Housing,Alojamiento,50
Hydrant,Boca de aguas,57
License Plate,Matrícula,83
Machine,Máquina,54
Minibus,Microbús,52
Moving Van,furgoneta de mudanza,75
Nature,Naturaleza,50
Outdoors,Al aire libre,69
Package,Paquete,52
Package Delivery,Entrega de paquetes,52
Person,Persona,56
Pickup Truck,camioneta,53
Plant,Planta,57
Police Car,Coche de policía,53
Road,Camino,50
Road Trip,viaje por carretera,51
School Bus,autobús escolar,51
Station Wagon,camioneta,50
Suv,todoterreno,53
Tomb,Tumba,54
Transportation,Transporte,92
Truck,Camión,53
Vacation,Vacaciones,53
Van,Furgoneta,76
Vehicle,Vehículo,92
Wheel,Rueda,54
Adult,Adulto,57
Bus,Autobús,69
Car,Auto,91
Caravan,Caravana,89
Fun,Divertido,50
Head,Cabeza,70
License Plate,Matrícula,57
Machine,Máquina,75
Male,Masculino,57
Man,Hombre,57
Minibus,Microbús,55
Moving Van,furgoneta de mudanza,84
Person,Persona,83
Transportation,Transporte,98
Truck,Camión,50
Vacation,Vacaciones,50
Van,Furgoneta,96
Vehicle,Vehículo,98
Wheel,Rueda,75
Bus,Autobús,57
Car,Auto,93
Caravan,Caravana,69
Headlight,Faro,51
Machine,Máquina,87
Minibus,Microbús,54
Moving Van,furgoneta de mudanza,89
Person,Persona,52
Pickup Truck,camioneta,52
Transportation,Transporte,96
Truck,Camión,53
Van,Furgoneta,94
Vehicle,Vehículo,96
Wheel,Rueda,87
Bus,Autobús,54
Car,Auto,91
Caravan,Caravana,60
Machine,Máquina,77
Minibus,Microbús,53
Moving Van,furgoneta de mudanza,62
Outdoors,Al aire libre,52
Person,Persona,51
Transportation,Transporte,94
Truck,Camión,53
Van,Furgoneta,90
Vehicle,Vehículo,94
Wheel,Rueda,77
Adult,Adulto,55
Architecture,Arquitectura,51
Building,Edificio,51
Bus,Autobús,52
Car,Auto,84
Caravan,Caravana,53
Female,Femenino,55
Grass,Césped,51
House,Casa,51
Housing,Alojamiento,51
Machine,Máquina,62
Moving Van,furgoneta de mudanza,57
Nature,Naturaleza,54
Outdoors,Al aire libre,88
Person,Persona,63
Plant,Planta,51
Transportation,Transporte,85
Van,Furgoneta,62
Vehicle,Vehículo,85
Weather,Clima,51
Wheel,Rueda,60
Woman,Mujer,55
Aerial View,Vista aérea,51
Architecture,Arquitectura,51
Building,Edificio,51
Car,Auto,80
Fire Hydrant,Boca de incendio,52
Grass,Césped,58
Hail,Granizo,51
House,Casa,50
Housing,Alojamiento,51
Hydrant,Boca de aguas,52
Moving Van,furgoneta de mudanza,51
Nature,Naturaleza,81
Outdoors,Al aire libre,97
Person,Persona,55
Plant,Planta,58
Suburb,Suburbio,50
Transportation,Transporte,81
Van,Furgoneta,52
Vehicle,Vehículo,81
Weather,Clima,58
Aerial View,Vista aérea,52
Architecture,Arquitectura,56
Building,Edificio,56
Bus Stop,Parada de autobús,54
Car,Auto,54
Fire Hydrant,Boca de incendio,78
Grass,Césped,86
Hail,Granizo,54
House,Casa,54
Housing,Alojamiento,56
Hydrant,Boca de aguas,78
Land,Tierra,52
Lawn,Césped,53
Nature,Naturaleza,92
Outdoors,Al aire libre,99
Plant,Planta,86
Suburb,Suburbio,51
Transportation,Transporte,58
Tree,Árbol,52
Vegetation,Vegetación,56
Vehicle,Vehículo,58
Weather,Clima,82
Woodland,Bosque,52
Yard,Patio,50
Aerial View,Vista aérea,50
Architecture,Arquitectura,53
Backyard,Patio interior,52
Building,Edificio,53
Bus Stop,Parada de autobús,55
Countryside,Campo,50
Farm,Granja,50
Fence,Cerca,53
Field,Campo,50
Fire,Fuego,51
Fire Hydrant,Boca de incendio,91
Grass,Césped,96
Gravestone,Lápida sepulcral,50
Grove,Arboleda,50
Hail,Granizo,52
Hedge,Cobertura,53
House,Casa,51
Housing,Alojamiento,53
Hydrant,Boca de aguas,91
Land,Tierra,53
Landmark,Marca,53
Lawn,Césped,56
Nature,Naturaleza,92
Outdoors,Al aire libre,98
Pasture,Pastar,50
Path,Camino,51
Plant,Planta,96
Road,Camino,50
Rural,Rural,50
Sidewalk,Acera,51
Storm,Tormenta,52
Tomb,Tumba,50
Tornado,Tornado,52
Transportation,Transporte,52
Tree,Árbol,53
Vegetation,Vegetación,82
Vehicle,Vehículo,52
Weather,Clima,60
Woodland,Bosque,53
Yard,Patio,52
